Date,Centre_Name,Commodity_Name,Price
,T.PURAM,Mustard Oil (Packed),72.5
,HYDERABAD,Mustard Oil (Packed),54.0
,T.PURAM,Mustard Oil (Packed),77.0
,HYDERABAD,Mustard Oil (Packed),52.0
,T.PURAM,Mustard Oil (Packed),70.0
,T.PURAM,Mustard Oil (Packed),72.0
,T.PURAM,Mustard Oil (Packed),73.0
,HYDERABAD,Mustard Oil (Packed),48.0
,T.PURAM,Mustard Oil (Packed),71.7
,HYDERABAD,Mustard Oil (Packed),47.0
,HYDERABAD,Mustard Oil (Packed),46.0
,T.PURAM,Mustard Oil (Packed),71.5
,HYDERABAD,Mustard Oil (Packed),47.5
,CHENNAI,Mustard Oil (Packed),35.0
,T.PURAM,Mustard Oil (Packed),71.0
,T.PURAM,Mustard Oil (Packed),68.5
,T.PURAM,Mustard Oil (Packed),64.5
,T.PURAM,Mustard Oil (Packed),62.5
,HYDERABAD,Mustard Oil (Packed),45.0
,T.PURAM,Mustard Oil (Packed),60.0
,CHENNAI,Mustard Oil (Packed),999.99
,T.PURAM,Mustard Oil (Packed),62.0
,HYDERABAD,Mustard Oil (Packed),50.0
,HYDERABAD,Mustard Oil (Packed),51.0
,BENGALURU,Mustard Oil (Packed),999.99
,T.PURAM,Mustard Oil (Packed),65.0
,HYDERABAD,Mustard Oil (Packed),56.0
,HYDERABAD,Mustard Oil (Packed),58.0
,HYDERABAD,Mustard Oil (Packed),60.0
,HYDERABAD,Mustard Oil (Packed),64.0
,T.PURAM,Mustard Oil (Packed),74.0
,HYDERABAD,Mustard Oil (Packed),66.0
,T.PURAM,Mustard Oil (Packed),76.0
,T.PURAM,Mustard Oil (Packed),78.0
,T.PURAM,Mustard Oil (Packed),80.0
,T.PURAM,Mustard Oil (Packed),84.0
,HYDERABAD,Mustard Oil (Packed),68.0
,T.PURAM,Mustard Oil (Packed),81.5
,T.PURAM,Mustard Oil (Packed),81.0
,T.PURAM,Mustard Oil (Packed),82.0
,HYDERABAD,Mustard Oil (Packed),63.0
,HYDERABAD,Mustard Oil (Packed),65.0
,T.PURAM,Mustard Oil (Packed),85.0
,T.PURAM,Mustard Oil (Packed),90.0
,T.PURAM,Mustard Oil (Packed),92.0
,T.PURAM,Mustard Oil (Packed),94.0
,T.PURAM,Mustard Oil (Packed),96.0
,T.PURAM,Mustard Oil (Packed),98.0
,HYDERABAD,Mustard Oil (Packed),70.0
,T.PURAM,Mustard Oil (Packed),100.0
,HYDERABAD,Mustard Oil (Packed),84.0
,HYDERABAD,Mustard Oil (Packed),82.0
,T.PURAM,Mustard Oil (Packed),97.0
,HYDERABAD,Mustard Oil (Packed),78.0
,HYDERABAD,Mustard Oil (Packed),88.0
,T.PURAM,Mustard Oil (Packed),105.0
,CHENNAI,Mustard Oil (Packed),81.0
,CHENNAI,Mustard Oil (Packed),83.0
,CHENNAI,Mustard Oil (Packed),82.0
,CHENNAI,Mustard Oil (Packed),80.0
,HYDERABAD,Mustard Oil (Packed),80.0
,CHENNAI,Mustard Oil (Packed),78.0
,HYDERABAD,Mustard Oil (Packed),76.0
,CHENNAI,Mustard Oil (Packed),72.0
,CHENNAI,Mustard Oil (Packed),70.0
,HYDERABAD,Mustard Oil (Packed),73.0
,CHENNAI,Mustard Oil (Packed),68.0
,HYDERABAD,Mustard Oil (Packed),75.0
,HYDERABAD,Mustard Oil (Packed),79.0
,HYDERABAD,Mustard Oil (Packed),77.0
,CHENNAI,Mustard Oil (Packed),65.0
,T.PURAM,Mustard Oil (Packed),99.0
,T.PURAM,Mustard Oil (Packed),95.0
,CHENNAI,Mustard Oil (Packed),73.0
,T.PURAM,Mustard Oil (Packed),88.0
,HYDERABAD,Mustard Oil (Packed),69.0
,T.PURAM,Mustard Oil (Packed),75.0
,HYDERABAD,Mustard Oil (Packed),72.0
,CHENNAI,Mustard Oil (Packed),69.0
,HYDERABAD,Mustard Oil (Packed),62.0
,CHENNAI,Mustard Oil (Packed),67.0
,CHENNAI,Mustard Oil (Packed),66.0
,HYDERABAD,Mustard Oil (Packed),67.0
,CHENNAI,Mustard Oil (Packed),71.0
,CHENNAI,Mustard Oil (Packed),76.0
,HYDERABAD,Mustard Oil (Packed),71.0
,HYDERABAD,Mustard Oil (Packed),74.0
,T.PURAM,Mustard Oil (Packed),26.0
,CHENNAI,Mustard Oil (Packed),74.0
,HYDERABAD,Mustard Oil (Packed),81.0
,CHENNAI,Mustard Oil (Packed),75.0
,HYDERABAD,Mustard Oil (Packed),83.0
,ERNAKULAM,Mustard Oil (Packed),78.0
,ERNAKULAM,Mustard Oil (Packed),72.0
,ERNAKULAM,Mustard Oil (Packed),83.0
,HYDERABAD,Mustard Oil (Packed),85.0
,ERNAKULAM,Mustard Oil (Packed),86.0
,HYDERABAD,Mustard Oil (Packed),86.0
,ERNAKULAM,Mustard Oil (Packed),87.0
,HYDERABAD,Mustard Oil (Packed),87.0
,CHENNAI,Mustard Oil (Packed),79.0
,ERNAKULAM,Mustard Oil (Packed),88.0
,HYDERABAD,Mustard Oil (Packed),90.0
,HYDERABAD,Mustard Oil (Packed),91.0
,T.PURAM,Mustard Oil (Packed),86.0
,CHENNAI,Mustard Oil (Packed),77.0
,ERNAKULAM,Mustard Oil (Packed),92.0
,HYDERABAD,Mustard Oil (Packed),92.0
,HYDERABAD,Mustard Oil (Packed),93.0
,HYDERABAD,Mustard Oil (Packed),89.0
,T.PURAM,Mustard Oil (Packed),93.0
,T.PURAM,Mustard Oil (Packed),103.0
,T.PURAM,Mustard Oil (Packed),107.0
,CHENNAI,Mustard Oil (Packed),84.0
,CHENNAI,Mustard Oil (Packed),85.0
,ERNAKULAM,Mustard Oil (Packed),94.0
,T.PURAM,Mustard Oil (Packed),106.0
,CHENNAI,Mustard Oil (Packed),87.0
,T.PURAM,Mustard Oil (Packed),111.0
,ERNAKULAM,Mustard Oil (Packed),98.0
,CHENNAI,Mustard Oil (Packed),96.0
,ERNAKULAM,Mustard Oil (Packed),97.0
,T.PURAM,Mustard Oil (Packed),112.0
,ERNAKULAM,Mustard Oil (Packed),100.0
,ERNAKULAM,Mustard Oil (Packed),101.0
,T.PURAM,Mustard Oil (Packed),113.0
,CHENNAI,Mustard Oil (Packed),98.0
,CHENNAI,Mustard Oil (Packed),102.0
,ERNAKULAM,Mustard Oil (Packed),102.0
,CHENNAI,Mustard Oil (Packed),105.0
,CHENNAI,Mustard Oil (Packed),107.0
,T.PURAM,Mustard Oil (Packed),102.0
,CHENNAI,Mustard Oil (Packed),108.0
,T.PURAM,Mustard Oil (Packed),115.0
,T.PURAM,Mustard Oil (Packed),118.0
,ERNAKULAM,Mustard Oil (Packed),99.0
,T.PURAM,Mustard Oil (Packed),119.0
,ERNAKULAM,Mustard Oil (Packed),96.0
,ERNAKULAM,Mustard Oil (Packed),104.0
,ERNAKULAM,Mustard Oil (Packed),107.0
,T.PURAM,Mustard Oil (Packed),120.0
,ERNAKULAM,Mustard Oil (Packed),108.0
,ERNAKULAM,Mustard Oil (Packed),110.0
,ERNAKULAM,Mustard Oil (Packed),111.0
,ERNAKULAM,Mustard Oil (Packed),113.0
,ERNAKULAM,Mustard Oil (Packed),114.0
,ERNAKULAM,Mustard Oil (Packed),116.0
,ERNAKULAM,Mustard Oil (Packed),119.0
,PUDUCHERRY,Mustard Oil (Packed),110.0
,PUDUCHERRY,Mustard Oil (Packed),114.0
,PUDUCHERRY,Mustard Oil (Packed),113.0
,PUDUCHERRY,Mustard Oil (Packed),112.0
,PUDUCHERRY,Mustard Oil (Packed),123.0
,PUDUCHERRY,Mustard Oil (Packed),119.0
,PUDUCHERRY,Mustard Oil (Packed),126.0
,PUDUCHERRY,Mustard Oil (Packed),121.0
,HYDERABAD,Mustard Oil (Packed),95.0
,HYDERABAD,Mustard Oil (Packed),97.0
,ERNAKULAM,Mustard Oil (Packed),121.0
,PUDUCHERRY,Mustard Oil (Packed),132.0
,CHENNAI,Mustard Oil (Packed),115.0
,HYDERABAD,Mustard Oil (Packed),98.0
,CHENNAI,Mustard Oil (Packed),121.0
,ERNAKULAM,Mustard Oil (Packed),115.0
,ERNAKULAM,Mustard Oil (Packed),112.0
,T.PURAM,Mustard Oil (Packed),124.0
,HYDERABAD,Mustard Oil (Packed),100.0
,KOZHIKODE,Mustard Oil (Packed),130.0
,T.PURAM,Mustard Oil (Packed),125.0
,KOZHIKODE,Mustard Oil (Packed),135.0
,T.PURAM,Mustard Oil (Packed),126.0
,KOZHIKODE,Mustard Oil (Packed),131.0
,T.PURAM,Mustard Oil (Packed),135.0
,PUDUCHERRY,Mustard Oil (Packed),130.0
,HYDERABAD,Mustard Oil (Packed),99.0
,T.PURAM,Mustard Oil (Packed),132.0
,T.PURAM,Mustard Oil (Packed),134.0
,KOZHIKODE,Mustard Oil (Packed),133.0
,KOZHIKODE,Mustard Oil (Packed),142.0
,KOZHIKODE,Mustard Oil (Packed),138.0
,KOZHIKODE,Mustard Oil (Packed),137.0
,VISAKHAPATNAM,Mustard Oil (Packed),107.0
,VISAKHAPATNAM,Mustard Oil (Packed),108.0
,VISAKHAPATNAM,Mustard Oil (Packed),111.0
,VISAKHAPATNAM,Mustard Oil (Packed),115.0
,CHENNAI,Mustard Oil (Packed),126.0
,HYDERABAD,Mustard Oil (Packed),101.0
,HYDERABAD,Mustard Oil (Packed),104.0
,HYDERABAD,Mustard Oil (Packed),107.0
,PUDUCHERRY,Mustard Oil (Packed),108.0
,CHENNAI,Mustard Oil (Packed),132.0
,T.PURAM,Mustard Oil (Packed),138.0
,HYDERABAD,Mustard Oil (Packed),108.0
,T.PURAM,Mustard Oil (Packed),137.0
,CHENNAI,Mustard Oil (Packed),127.0
,T.PURAM,Mustard Oil (Packed),136.0
,HYDERABAD,Mustard Oil (Packed),103.0
,T.PURAM,Mustard Oil (Packed),129.0
,VISAKHAPATNAM,Mustard Oil (Packed),103.0
,VISAKHAPATNAM,Mustard Oil (Packed),98.0
,PANAJI,Mustard Oil (Packed),132.0
,T.PURAM,Mustard Oil (Packed),130.0
,ERNAKULAM,Mustard Oil (Packed),126.0
,PANAJI,Mustard Oil (Packed),140.0
,VISAKHAPATNAM,Mustard Oil (Packed),97.0
,PANAJI,Mustard Oil (Packed),139.0
,T.PURAM,Mustard Oil (Packed),131.0
,PUDUCHERRY,Mustard Oil (Packed),115.0
,HYDERABAD,Mustard Oil (Packed),106.0
,PUDUCHERRY,Mustard Oil (Packed),120.0
,CHENNAI,Mustard Oil (Packed),106.0
,ERNAKULAM,Mustard Oil (Packed),127.0
,CHENNAI,Mustard Oil (Packed),109.0
,CHENNAI,Mustard Oil (Packed),104.0
,COIMBATORE,Mustard Oil (Packed),99.0
,COIMBATORE,Mustard Oil (Packed),104.0
,COIMBATORE,Mustard Oil (Packed),110.0
,HYDERABAD,Mustard Oil (Packed),120.0
,HYDERABAD,Mustard Oil (Packed),116.0
,THRISSUR,Mustard Oil (Packed),125.0
,PALAKKAD,Mustard Oil (Packed),136.0
,WAYANAD,Mustard Oil (Packed),140.0
,VISAKHAPATNAM,Mustard Oil (Packed),102.0
,CHENNAI,Mustard Oil (Packed),113.0
,CHENNAI,Mustard Oil (Packed),111.0
,MANGALORE,Mustard Oil (Packed),95.0
,MYSORE,Mustard Oil (Packed),110.0
,MYSORE,Mustard Oil (Packed),105.0
,MYSORE,Mustard Oil (Packed),106.0
